"Time","Type","Ability","Source → Target",""
"00:06.057","Begin Cast","Expose 1.01 sec","Sikran",""
"00:07.066","Cast","Expose 1.01 sec","Sikran → Dietsploosh",""
"00:07.328","Begin Cast","Expose 1.01 sec","Sikran",""
"00:08.337","Cast","Expose 1.01 sec","Sikran → Dietsploosh",""
"00:08.598","Begin Cast","Phase Lunge 1.51 sec","Sikran",""
"00:10.105","Cast","Phase Lunge 1.51 sec","Sikran → Dietsploosh",""
"00:12.190","Cast","Phase Blades","Sikran",""
"00:16.692","Begin Cast","Phase Blades 1.51 sec","Sikran",""
"00:18.204","Cast","Phase Blades 1.51 sec","Sikran",""
"00:18.205","Cast","Cosmic Simulacrum","Cosmic Simulacrum 1",""
"00:18.543","Cast","Cosmic Simulacrum","Cosmic Simulacrum 2",""
"00:18.867","Cast","Cosmic Simulacrum","Cosmic Simulacrum 3",""
"00:19.205","Cast","Cosmic Simulacrum","Cosmic Simulacrum 4",""
"00:23.123","Begin Cast","Rain of Arrows 2.00 sec","Sikran",""
"00:25.120","Cast","Rain of Arrows 2.00 sec","Sikran",""
"00:31.658","Begin Cast","Expose 1.01 sec","Sikran",""
"00:32.664","Cast","Expose 1.01 sec","Sikran → Abwasive",""
"00:32.928","Begin Cast","Expose 1.01 sec","Sikran",""
"00:33.937","Cast","Expose 1.01 sec","Sikran → Abwasive",""
"00:34.198","Begin Cast","Phase Lunge 1.50 sec","Sikran",""
"00:35.698","Cast","Phase Lunge 1.50 sec","Sikran → Abwasive",""
"00:40.186","Cast","Phase Blades","Sikran",""
"00:44.690","Begin Cast","Phase Blades 1.52 sec","Sikran",""
"00:46.212","Cast","Phase Blades 1.52 sec","Sikran",""
"00:46.244","Cast","Cosmic Simulacrum","Cosmic Simulacrum 5",""
"00:46.614","Cast","Cosmic Simulacrum","Cosmic Simulacrum 6",""
"00:46.953","Cast","Cosmic Simulacrum","Cosmic Simulacrum 7",""
"00:47.279","Cast","Cosmic Simulacrum","Cosmic Simulacrum 8",""
"00:52.182","Begin Cast","Decimate 2.02 sec","Sikran",""
"00:54.200","Cast","Decimate 2.02 sec","Sikran",""
"00:54.376","Cast","Cosmic Shards","Cosmic Simulacrum 8",""
"00:54.377","Cast","Cosmic Residue","Cosmic Simulacrum 8",""
"00:54.419","Cast","Cosmic Shards","Cosmic Simulacrum 5",""
"00:54.419","Cast","Cosmic Residue","Cosmic Simulacrum 5",""
