"Time","Type","Ability","Source → Target",""
"00:03.019","Cast","Invoke Terrors","The Bloodbound Horror",""
"00:09.038","Begin Cast","Bloodcurdle 2.01 sec","The Bloodbound Horror",""
"00:11.048","Cast","Bloodcurdle 2.01 sec","The Bloodbound Horror",""
"00:11.088","Cast","Crimson Rain","The Bloodbound Horror",""
"00:14.016","Begin Cast","Gruesome Disgorge 5.02 sec","The Bloodbound Horror",""
"00:19.040","Cast","Gruesome Disgorge 5.02 sec","The Bloodbound Horror",""
"00:19.120","Cast","Grasp From Beyond","The Bloodbound Horror",""
"00:21.553","Begin Cast","Black Bulwark Canceled","Lost Watcher 1",""
"00:21.769","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 3",""
"00:21.770","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 2",""
"00:21.770","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 1",""
"00:25.776","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 1",""
"00:25.777","Begin Cast","Manifest Horror Canceled","Forgotten Harbinger 1",""
"00:25.777","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 3",""
"00:25.777","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 3",""
"00:25.777","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 2",""
"00:25.778","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 2",""
"00:26.630","Begin Cast","Spectral Slam 3.02 sec","Lost Watcher 1",""
"00:29.650","Cast","Spectral Slam 3.02 sec","Lost Watcher 1 →  Афтордх",""
"00:29.791","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 3",""
"00:29.792","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 3",""
"00:29.792","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 2",""
"00:29.792","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 2",""
"00:32.040","Begin Cast","Spewing Hemorrhage 5.00 sec","The Bloodbound Horror",""
"00:33.789","Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 3",""
"00:33.789","Begin Cast","Manifest Horror Canceled","Forgotten Harbinger 3",""
"00:33.789","Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 2",""
"00:33.789","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 2",""
"00:37.042","Cast","Spewing Hemorrhage 5.00 sec","The Bloodbound Horror",""
"00:37.090","Cast","Spewing Hemorrhage","Spewing Hemorrhage 1",""
"00:37.803","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 2",""
"00:37.803","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 2",""
"00:41.015","Begin Cast","Bloodcurdle 2.00 sec","The Bloodbound Horror",""
"00:41.808","Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 2",""
"00:41.808","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 2",""
"00:43.016","Cast","Bloodcurdle 2.00 sec","The Bloodbound Horror",""
"00:45.815","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 2",""
"00:45.816","Begin Cast","Manifest Horror Canceled","Forgotten Harbinger 2",""
"00:47.028","Cast","Grasp From Beyond","The Bloodbound Horror",""
"00:47.107","Cast","Spewing Hemorrhage","Spewing Hemorrhage 1 → Наистраи",""
"01:02.031","Cast","Invoke Terrors","The Bloodbound Horror",""
"01:08.026","Begin Cast","Bloodcurdle 2.01 sec","The Bloodbound Horror",""
"01:10.035","Cast","Bloodcurdle 2.01 sec","The Bloodbound Horror",""
"01:13.031","Begin Cast","Gruesome Disgorge 5.01 sec","The Bloodbound Horror",""
"01:18.040","Cast","Gruesome Disgorge 5.01 sec","The Bloodbound Horror",""
"01:18.103","Cast","Grasp From Beyond","The Bloodbound Horror",""
"01:20.211","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 6",""
"01:20.211","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 5",""
"01:20.211","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 4",""
"01:20.568","Begin Cast","Black Bulwark Canceled","Lost Watcher 2",""
"01:24.212","Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 6",""
"01:24.212","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 6",""
"01:24.212","Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 5",""
"01:24.212","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 5",""
"01:24.213","Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 4",""
"01:24.213","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 4",""
"01:26.275","Begin Cast","Spectral Slam 3.01 sec","Lost Watcher 2",""
"01:28.208","Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 5",""
"01:28.208","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 5",""
"01:28.208","Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 6",""
"01:28.208","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 6",""
"01:28.208","Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 4",""
"01:28.208","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 4",""
"01:29.285","Cast","Spectral Slam 3.01 sec","Lost Watcher 2 →  Andybrew",""
"01:31.022","Begin Cast","Spewing Hemorrhage 5.02 sec","The Bloodbound Horror",""
"01:32.215","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 5",""
"01:32.215","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 5",""
"01:32.215","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 4",""
"01:32.216","Begin Cast","Manifest Horror 4.00 sec","Forgotten Harbinger 4",""
"01:32.216","Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 6",""
"01:32.216","Begin Cast","Manifest Horror 4.01 sec","Forgotten Harbinger 6",""
"01:36.043","Cast","Spewing Hemorrhage 5.02 sec","The Bloodbound Horror",""
"01:36.089","Cast","Spewing Hemorrhage","Spewing Hemorrhage 2",""
