"Time","Type","Ability","Source → Target",""
"00:06.001","Cast","Empowering Slam 1.52 sec","Breath of Ula'tek → Bucnasty",""
"00:08.413","Cast","Bloodvenom Injection 1.50 sec","Blood of Ula'tek → Septy",""
"00:12.077","Cast","Venom Coagulation 1.52 sec","Breath of Ula'tek",""
"00:14.989","Cast","Toxic Droplets 2.01 sec","Breath of Ula'tek",""
"00:17.643","Cast","Unstable Miasma 1.00 sec","Blood of Ula'tek",""
"00:17.857","Cast","Contaminate","Venom Coagulation 1",""
"00:27.879","Cast","Empowering Slam 1.49 sec","Breath of Ula'tek → Bucnasty",""
"00:30.314","Cast","Bloodvenom Injection 1.51 sec","Blood of Ula'tek → Septy",""
"00:42.960","Cast","Blighted Blood 2.00 sec","Blood of Ula'tek",""
"00:46.109","Cast","Vitriolic Stasis","Breath of Ula'tek",""
"00:46.109","Cast","Vitriolic Stasis","Blood of Ula'tek",""
"01:01.918","Cast","Empowering Slam 1.51 sec","Breath of Ula'tek → Septy",""
"01:04.334","Cast","Bloodvenom Injection 1.50 sec","Blood of Ula'tek → Bucnasty",""
"01:07.996","Cast","Venom Coagulation 1.52 sec","Breath of Ula'tek",""
"01:10.920","Cast","Toxic Droplets 2.00 sec","Breath of Ula'tek",""
"01:13.577","Cast","Unstable Miasma 1.00 sec","Blood of Ula'tek",""
"01:13.800","Cast","Contaminate","Venom Coagulation 2",""
"01:23.810","Cast","Empowering Slam 1.49 sec","Breath of Ula'tek → Septy",""
"01:27.473","Cast","Bloodvenom Injection 1.50 sec","Blood of Ula'tek → Bucnasty",""
"01:38.950","Cast","Blighted Blood 2.01 sec","Blood of Ula'tek",""
"01:43.800","Cast","Toxic Droplets 1.98 sec","Breath of Ula'tek",""
"01:45.766","Cast","Empowering Slam 1.51 sec","Breath of Ula'tek → Septy",""
"01:49.394","Cast","Bloodvenom Injection 1.52 sec","Blood of Ula'tek → Bucnasty",""
"01:54.974","Cast","Unstable Miasma 1.00 sec","Blood of Ula'tek",""
"01:59.524","Cast","Venom Coagulation 1.51 sec","Breath of Ula'tek",""
"02:01.259","Cast","Anti-Magic Zone","Environment → Kharzûl",""
"02:01.274","Cast","Anti-Magic Zone","Environment → Shyrl",""
"02:01.274","Cast","Anti-Magic Zone","Environment → Quankk",""
"02:01.274","Cast","Anti-Magic Zone","Environment → Carbo",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Hustlezwei",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Newvoker",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Fraggele",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Ortyy",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Fitnawl",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Autohardshot",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Magzflux",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Rivalia",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Jayhub",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Nüqq",""
"02:01.390","Cast","Anti-Magic Zone","Environment → Bucnasty",""
"02:05.301","Cast","Contaminate","Venom Coagulation 3",""
"02:08.033","Cast","Empowering Slam 1.51 sec","Breath of Ula'tek → Septy",""
"02:11.693","Cast","Bloodvenom Injection 1.52 sec","Blood of Ula'tek → Bucnasty",""
"02:27.128","Cast","Vitriolic Stasis","Blood of Ula'tek",""
"02:27.129","Cast","Vitriolic Stasis","Breath of Ula'tek",""
"02:40.858","Cast","Empowering Slam 1.52 sec","Breath of Ula'tek → Bucnasty",""
"02:42.060","Cast","Bloodvenom Injection 1.50 sec","Blood of Ula'tek → Septy",""
"02:45.694","Cast","Venom Coagulation 1.51 sec","Breath of Ula'tek",""
"02:49.028","Cast","Toxic Droplets 2.00 sec","Breath of Ula'tek",""
"02:51.687","Cast","Unstable Miasma 1.01 sec","Blood of Ula'tek",""
"02:51.915","Cast","Contaminate","Venom Coagulation 1",""
"03:03.103","Cast","Empowering Slam 1.52 sec","Breath of Ula'tek → Bucnasty",""
"03:04.325","Cast","Bloodvenom Injection 1.52 sec","Blood of Ula'tek → Septy",""
"03:16.967","Cast","Blighted Blood 1.99 sec","Blood of Ula'tek",""
"03:21.830","Cast","Toxic Droplets 2.00 sec","Breath of Ula'tek",""
"03:24.988","Cast","Empowering Slam 1.52 sec","Breath of Ula'tek → Bucnasty",""
"03:26.184","Cast","Bloodvenom Injection 1.50 sec","Blood of Ula'tek → Septy",""
"03:32.989","Cast","Unstable Miasma 0.99 sec","Blood of Ula'tek",""
"03:37.539","Cast","Venom Coagulation 1.49 sec","Breath of Ula'tek",""
"03:43.333","Cast","Contaminate","Venom Coagulation 4",""
"03:47.264","Cast","Empowering Slam 1.52 sec","Breath of Ula'tek → Bucnasty",""
"03:48.474","Cast","Bloodvenom Injection 1.51 sec","Blood of Ula'tek → Septy",""
