"Time","Type","Ability","Source → Target",""
"00:00.009","Begin Cast","Nek'zali the Soulcoiler begins casting  Soulcoil Ignition","",""
"00:02.984","Cast","Nek'zali the Soulcoiler casts  Soulcoil Ignition","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Soupashot","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Iamthetrain","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Nightidragon","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Purplebaba","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Sneakybask","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on  Vengrynin","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Phatnoms","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Pucki","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Tinylegs","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Eurydicy","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Projectt","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Caliuhm","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Joeywinsly","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Matapriest","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Yasuya","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Colinnpp","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Wotmonger","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Kitkats","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Chonch","",""
"00:03.014","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Absolutechud","",""
"00:03.015","Cast","Nek'zali the Soulcoiler casts  Soulcoil Ignition","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Pucki","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Wotmonger","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Yasuya","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Kitkats","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Joeywinsly","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Projectt","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Colinnpp","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Phatnoms","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Sneakybask","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Nightidragon","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Tinylegs","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Purplebaba","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Iamthetrain","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Chonch","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Absolutechud","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Soupashot","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Matapriest","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Caliuhm","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Eurydicy","",""
"00:04.007","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on  Vengrynin","",""
"00:05.019","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Matapriest","",""
"00:05.019","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Wotmonger","",""
"00:05.019","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Iamthetrain","",""
"00:05.019","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Phatnoms","",""
"00:05.019","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Sneakybask","",""
"00:05.019","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Pucki","",""
"00:05.019","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Projectt","",""
"00:05.019","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Caliuhm","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Chonch","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Joeywinsly","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Purplebaba","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Soupashot","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Tinylegs","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Yasuya","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Nightidragon","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on  Vengrynin","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Colinnpp","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Absolutechud","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Kitkats","",""
"00:05.031","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Eurydicy","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on  Vengrynin","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Wotmonger","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Caliuhm","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Matapriest","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Absolutechud","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Yasuya","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Pucki","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Sneakybask","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Phatnoms","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Chonch","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Colinnpp","",""
"00:06.008","Cast","Nek'zali the Soulcoiler casts  Ritual Burn on Eurydicy","",""
