"Time","Type","Ability","Source → Target",""
"00:08.538","Cast","Ravage","Sszorak → Caldruid",""
"00:08.538","Cast","Ravage 2.99 sec","Sszorak",""
"00:13.035","Cast","Tempest 3.51 sec","Sszorak",""
"00:17.067","Cast","Mutilate","Sszorak → Caldruid",""
"00:17.067","Cast","Mutilate 3.04 sec","Sszorak",""
"00:21.040","Cast","Ravage","Sszorak → Haslodk",""
"00:21.041","Cast","Ravage 2.98 sec","Sszorak",""
"00:25.058","Cast","Mutilate","Sszorak → Haslodk",""
"00:25.058","Cast","Mutilate 3.03 sec","Sszorak",""
"00:32.180","Cast","Venomous Surge","Sszorak",""
"00:43.279","Cast","Raging Crosswinds","Environment",""
"00:44.032","Cast","Raging Crosswinds","Sszorak → Kungsängen",""
"00:44.033","Cast","Raging Crosswinds","Sszorak → Loukizz",""
"00:44.143","Cast","Raging Crosswinds","Sszorak → Ilymage",""
"00:44.143","Cast","Raging Crosswinds","Sszorak → Jsn",""
"00:44.267","Cast","Raging Crosswinds","Sszorak → Zyzzgiraffe",""
"00:44.267","Cast","Raging Crosswinds","Sszorak → Sulullu",""
"00:44.363","Cast","Raging Crosswinds","Sszorak → Ivazdrei",""
"00:44.363","Cast","Raging Crosswinds","Sszorak → Lonelyshadow",""
"00:44.448","Cast","Raging Crosswinds","Sszorak → Cursedbreak",""
"00:44.448","Cast","Raging Crosswinds","Sszorak → Domiliana",""
"01:00.773","Cast","Ravage","Sszorak → Caldruid",""
"01:00.774","Cast","Ravage 3.02 sec","Sszorak",""
"01:04.751","Cast","Ravage","Sszorak → Haslodk",""
"01:04.752","Cast","Ravage 3.01 sec","Sszorak",""
"01:09.240","Cast","Tempest 3.50 sec","Sszorak",""
"01:13.254","Cast","Mutilate","Sszorak → Haslodk",""
"01:13.254","Cast","Mutilate 3.02 sec","Sszorak",""
"01:17.277","Cast","Mutilate","Sszorak → Caldruid",""
"01:17.278","Cast","Mutilate 3.00 sec","Sszorak",""
"01:24.408","Cast","Venomous Surge","Sszorak",""
"01:35.513","Cast","Raging Crosswinds","Environment",""
"01:36.252","Cast","Raging Crosswinds","Sszorak → Fanalol",""
"01:36.252","Cast","Raging Crosswinds","Sszorak → Jozka",""
"01:36.357","Cast","Raging Crosswinds","Sszorak → Alsojaypain",""
"01:36.357","Cast","Raging Crosswinds","Sszorak → Vxh",""
"01:36.481","Cast","Raging Crosswinds","Sszorak → Sotaxdk",""
"01:36.481","Cast","Raging Crosswinds","Sszorak → Bababooie",""
"01:36.575","Cast","Raging Crosswinds","Sszorak → Glasricotta",""
"01:36.575","Cast","Raging Crosswinds","Sszorak → Cappe",""
"01:36.642","Cast","Raging Crosswinds","Sszorak → Olympz",""
"01:36.642","Cast","Raging Crosswinds","Sszorak → Quacks",""
"01:51.115","Cast","Dig In","Sszorak",""
"02:07.653","Cast","Anti-Magic Zone","Environment → Haslodk",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Ivazdrei",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Rngurog",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Bababooie",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Alsojaypain",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Kungsängen",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Caldruid",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Glasricotta",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Hoew",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Jsn",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Cappe",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Quacks",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Drgateway",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Itherius",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Sulullu",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Turtlehunt",""
"02:07.654","Cast","Anti-Magic Zone","Environment → Ilymage",""
"02:07.740","Cast","Anti-Magic Zone","Environment → Lonelyshadow",""
"02:08.722","Cast","Anti-Magic Zone","Environment → Rngurog",""
"02:09.018","Cast","Anti-Magic Zone","Environment → Alsojaypain",""
"02:09.018","Cast","Anti-Magic Zone","Environment → Lonelyshadow",""
"02:09.184","Cast","Anti-Magic Zone","Environment → Hoew",""
"02:09.269","Cast","Anti-Magic Zone","Environment → Caldruid",""
"02:09.526","Cast","Anti-Magic Zone","Environment → Domiliana",""
"02:09.748","Cast","Anti-Magic Zone","Environment → Sotaxdk",""
"02:09.748","Cast","Anti-Magic Zone","Environment → Itherius",""
"02:09.850","Cast","Anti-Magic Zone","Environment → Vxh",""
"02:10.049","Cast","Anti-Magic Zone","Environment → Seacerw",""
"02:10.082","Cast","Anti-Magic Zone","Environment → Cursedbreak",""
"02:10.388","Cast","Anti-Magic Zone","Environment → Ilymage",""
"02:10.528","Cast","Anti-Magic Zone","Environment → Dynamites",""
"02:11.204","Cast","Anti-Magic Zone","Environment → Rngurog",""
"02:11.341","Cast","Anti-Magic Zone","Environment → Ivazdrei",""
"02:11.749","Cast","Anti-Magic Zone","Environment → Dynamites",""
"02:11.876","Cast","Anti-Magic Zone","Environment → Cursedbreak",""
"02:11.921","Cast","Anti-Magic Zone","Environment → Caldruid",""
"02:11.921","Cast","Anti-Magic Zone","Environment → Drgateway",""
"02:12.037","Cast","Anti-Magic Zone","Environment → Ilymage",""
"02:12.108","Cast","Anti-Magic Zone","Environment → Hoew",""
"02:12.108","Cast","Anti-Magic Zone","Environment → Zyzzgiraffe",""
"02:12.108","Cast","Anti-Magic Zone","Environment → Quacks",""
"02:12.108","Cast","Anti-Magic Zone","Environment → Alsojaypain",""
"02:12.108","Cast","Anti-Magic Zone","Environment → Lonelyshadow",""
"02:12.296","Cast","Anti-Magic Zone","Environment → Jozka",""
"02:12.296","Cast","Anti-Magic Zone","Environment → Domiliana",""
"02:12.988","Cast","Anti-Magic Zone","Environment → Cappe",""
