"Time","Type","Ability","Source → Target",""
"00:00.018","Cast","Fangs of the Coiled Altar","Zul'jan",""
"00:01.996","Cast","Toxic Deluge","Zul'jan",""
"00:07.371","Cast","Noxious Ground","Zul'jan → Iwaskurt",""
"00:11.698","Cast","Noxious Ground","Zul'jan → Fujiregret",""
"00:13.984","Cast","Axegrinder 2.00 sec","Zul'jan",""
"00:15.004","Cast","Axegrinder","Axegrinder 1",""
"00:15.080","Cast","Axegrinder","Axegrinder 2",""
"00:15.097","Cast","Axegrinder","Axegrinder 3",""
"00:15.153","Cast","Axegrinder","Axegrinder 4",""
"00:15.219","Cast","Axegrinder","Axegrinder 5",""
"00:23.031","Cast","Sever 3.03 sec","Zul'jan",""
"00:29.272","Cast","Axegrinder","Axegrinder 4 → Dingeath",""
"00:30.005","Cast","Venomfang 2.02 sec","Zul'jan → Padixqt",""
"00:32.674","Cast","Axegrinder","Axegrinder 5 → Dingeath",""
"00:37.410","Cast","Axegrinder","Axegrinder 5 → Padixqt",""
"00:38.416","Cast","Axegrinder","Axegrinder 5 → Anoray",""
"00:39.623","Cast","Axegrinder","Axegrinder 5 → Smoltron",""
"00:40.000","Cast","Sever 3.00 sec","Zul'jan",""
"00:42.992","Cast","Guillotine","Zul'jan",""
"00:44.454","Cast","Axegrinder","Axegrinder 5 → Padixqt",""
"00:45.014","Cast","Toxic Deluge","Zul'jan",""
"00:46.500","Cast","Guillotine 3.51 sec","Zul'jan → Shamum",""
"00:49.732","Cast","Axegrinder","Axegrinder 5 → Ultashamdam",""
"00:50.396","Cast","Axegrinder","Axegrinder 4 → Ultashamdam",""
"00:52.814","Cast","Axegrinder","Axegrinder 5 → Salona",""
"00:53.243","Cast","Axegrinder","Axegrinder 5 → Salona",""
"00:53.760","Cast","Axegrinder","Axegrinder 4 → Wtbfrend",""
"00:57.332","Cast","Axegrinder","Axegrinder 5 → Dhguy",""
"00:57.408","Cast","Axegrinder","Axegrinder 4 → Dhguy",""
"00:57.642","Cast","Axegrinder","Axegrinder 4 → Ultashamdam",""
"01:00.012","Cast","Sever 3.01 sec","Zul'jan",""
"01:05.003","Cast","Venomfang 2.00 sec","Zul'jan → Salona",""
"01:12.607","Cast","Axegrinder","Axegrinder 5 → Tezinator",""
"01:13.463","Cast","Axegrinder","Axegrinder 4 → Dingeath",""
"01:14.037","Cast","Axegrinder","Axegrinder 4 → Dingeath",""
"01:17.001","Cast","Sever 3.00 sec","Zul'jan",""
"01:24.997","Cast","Fangs of the Coiled Altar","Zul'jan",""
"01:27.028","Cast","Toxic Deluge","Zul'jan",""
"01:32.053","Cast","Noxious Ground","Zul'jan → Fujiregret",""
"01:32.198","Cast","Noxious Ground","Zul'jan → Padixqt",""
"01:32.383","Cast","Noxious Ground","Zul'jan → Anoray",""
"01:32.482","Cast","Noxious Ground","Zul'jan → Notamaid",""
"01:32.701","Cast","Noxious Ground","Zul'jan → Dhguy",""
"01:32.906","Cast","Noxious Ground","Zul'jan → Chulain",""
"01:33.019","Cast","Noxious Ground","Zul'jan → Monkira",""
"01:33.019","Cast","Noxious Ground","Zul'jan → Chulain",""
"01:33.319","Cast","Noxious Ground","Zul'jan → Alletharia",""
"01:33.510","Cast","Noxious Ground","Zul'jan → Ibaar",""
"01:34.071","Cast","Noxious Ground","Zul'jan → Padixqt",""
"01:37.001","Begin Cast","Axegrinder Canceled","Zul'jan",""
"01:38.825","Cast","Anti-Magic Zone","Environment → Alletharia",""
"01:38.825","Cast","Anti-Magic Zone","Environment → Padixqt",""
"01:38.825","Cast","Anti-Magic Zone","Environment → Jayvoid",""
"01:38.825","Cast","Anti-Magic Zone","Environment → Rieg",""
"01:38.914","Cast","Anti-Magic Zone","Environment → Salona",""
"01:38.914","Cast","Anti-Magic Zone","Environment → Fujiregret",""
"01:38.914","Cast","Anti-Magic Zone","Environment → Monkira",""
"01:38.914","Cast","Anti-Magic Zone","Environment → Tezinator",""
"01:38.914","Cast","Anti-Magic Zone","Environment → Notamaid",""
"01:38.914","Cast","Anti-Magic Zone","Environment → Anoray",""
