"Time","Type","Ability","Source → Target",""
"00:00.015","Cast","Fangs of the Coiled Altar","Zul'jan",""
"00:01.984","Cast","Toxic Deluge","Zul'jan",""
"00:06.285","Cast","Noxious Ground","Zul'jan → Xilam",""
"00:07.141","Cast","Noxious Ground","Zul'jan → Liebrepriest",""
"00:08.074","Cast","Noxious Ground","Zul'jan → Senfih",""
"00:13.432","Cast","Noxious Ground","Zul'jan → Horii",""
"00:13.987","Cast","Axegrinder 2.00 sec","Zul'jan",""
"00:14.741","Cast","Noxious Ground","Zul'jan → Robinwl",""
"00:15.041","Cast","Axegrinder","Axegrinder 1",""
"00:15.063","Cast","Axegrinder","Axegrinder 2",""
"00:15.110","Cast","Axegrinder","Axegrinder 3",""
"00:15.176","Cast","Axegrinder","Axegrinder 4",""
"00:15.208","Cast","Axegrinder","Axegrinder 5",""
"00:19.040","Cast","Noxious Ground","Zul'jan → Ewokege",""
"00:21.596","Cast","Axegrinder","Axegrinder 5 → Relod",""
"00:21.651","Cast","Axegrinder","Axegrinder 2 → Shirup",""
"00:21.915","Cast","Axegrinder","Axegrinder 2 → Tizaxyr",""
"00:22.275","Cast","Noxious Ground","Zul'jan → Horii",""
"00:22.752","Cast","Axegrinder","Axegrinder 2 → Tizaxyr",""
"00:23.001","Cast","Sever 3.00 sec","Zul'jan",""
"00:23.085","Cast","Noxious Ground","Zul'jan → Ewokege",""
"00:23.302","Cast","Axegrinder","Axegrinder 2 → Tizaxyr",""
"00:29.997","Cast","Venomfang 2.01 sec","Zul'jan → Xilam",""
"00:31.342","Cast","Axegrinder","Axegrinder 5 → Xilam",""
"00:37.865","Cast","Axegrinder","Axegrinder 4 → Senfih",""
"00:40.035","Cast","Sever 3.02 sec","Zul'jan",""
"00:41.565","Cast","Axegrinder","Axegrinder 3 → Gladrien",""
"00:43.021","Cast","Guillotine","Zul'jan",""
"00:45.001","Cast","Toxic Deluge","Zul'jan",""
"00:46.497","Cast","Axegrinder","Axegrinder 5 → Horii",""
"00:46.518","Cast","Guillotine 3.50 sec","Zul'jan → Gladrien",""
"00:49.586","Cast","Axegrinder","Axegrinder 2 → Horii",""
"00:50.457","Cast","Axegrinder","Axegrinder 5 → Cringewar",""
"00:51.225","Cast","Axegrinder","Axegrinder 5 → Tizaxyr",""
"00:55.743","Cast","Axegrinder","Axegrinder 3 → Gladrien",""
"00:58.609","Cast","Axegrinder","Axegrinder 5 → Impyr",""
"00:59.110","Cast","Axegrinder","Axegrinder 5 → Cringewar",""
"01:00.032","Cast","Sever 3.02 sec","Zul'jan",""
"01:03.209","Cast","Axegrinder","Axegrinder 2 → Relod",""
"01:05.017","Cast","Venomfang 2.02 sec","Zul'jan → Coffee",""
"01:08.049","Cast","Axegrinder","Axegrinder 4 → Robinwl",""
"01:09.170","Cast","Axegrinder","Axegrinder 4 → Robinwl",""
"01:12.694","Cast","Axegrinder","Axegrinder 2 → Evokimoz",""
"01:17.007","Cast","Sever 3.02 sec","Zul'jan",""
"01:17.558","Cast","Axegrinder","Axegrinder 4 → Entelligans",""
"01:17.970","Cast","Axegrinder","Axegrinder 4 → Entelligans",""
"01:18.419","Cast","Axegrinder","Axegrinder 2 → Ewokege",""
"01:18.846","Cast","Axegrinder","Axegrinder 2 → Ewokege",""
"01:19.610","Cast","Axegrinder","Axegrinder 5 → Ewokege",""
"01:19.656","Cast","Axegrinder","Axegrinder 2 → Ewokege",""
"01:25.004","Cast","Fangs of the Coiled Altar","Zul'jan",""
"01:27.010","Cast","Toxic Deluge","Zul'jan",""
"01:30.358","Cast","Noxious Ground","Zul'jan → Ewokege",""
"01:30.783","Cast","Noxious Ground","Zul'jan → Shroomee",""
"01:31.230","Cast","Noxious Ground","Zul'jan → Critzeel",""
"01:31.557","Cast","Noxious Ground","Zul'jan → Liebrepriest",""
"01:31.948","Cast","Noxious Ground","Zul'jan → Robinwl",""
"01:31.980","Cast","Noxious Ground","Zul'jan → Tizaxyr",""
"01:32.732","Cast","Noxious Ground","Zul'jan → Gyi",""
"01:32.732","Cast","Noxious Ground","Zul'jan → Cringewar",""
"01:32.743","Cast","Noxious Ground","Zul'jan → Senfih",""
"01:32.793","Cast","Noxious Ground","Zul'jan → Ponkydan",""
"01:32.793","Cast","Noxious Ground","Zul'jan → Neykraufbold",""
"01:33.065","Cast","Axegrinder","Axegrinder 5 → Gyi",""
"01:33.065","Cast","Noxious Ground","Zul'jan → Evokimoz",""
"01:33.087","Cast","Noxious Ground","Zul'jan → Xilam",""
"01:33.206","Cast","Axegrinder","Axegrinder 5 → Impyr",""
"01:33.206","Cast","Axegrinder","Axegrinder 5 → Shirup",""
"01:34.681","Cast","Axegrinder","Axegrinder 4 → Ewokege",""
"01:34.895","Cast","Axegrinder","Axegrinder 5 → Neykraufbold",""
"01:34.895","Cast","Axegrinder","Axegrinder 5 → Cringewar",""
"01:35.102","Cast","Noxious Ground","Zul'jan → Evokimoz",""
"01:35.177","Cast","Axegrinder","Axegrinder 5 → Senfih",""
"01:35.251","Cast","Noxious Ground","Zul'jan → Ponkydan",""
"01:35.502","Cast","Noxious Ground","Zul'jan → Neykraufbold",""
"01:35.660","Cast","Noxious Ground","Zul'jan → Tizaxyr",""
"01:35.660","Cast","Noxious Ground","Zul'jan → Senfih",""
"01:35.965","Cast","Noxious Ground","Zul'jan → Cringewar",""
"01:36.016","Cast","Axegrinder","Axegrinder 5 → Cringewar",""
"01:36.475","Cast","Axegrinder","Axegrinder 5 → Cringewar",""
"01:36.833","Cast","Axegrinder","Axegrinder 2 → Tizaxyr",""
"01:36.880","Cast","Noxious Ground","Zul'jan → Xilam",""
"01:37.909","Cast","Axegrinder","Axegrinder 5 → Relod",""
"01:38.513","Cast","Noxious Ground","Zul'jan → Ponkydan",""
"01:38.542","Cast","Axegrinder","Axegrinder 5 → Relod",""
"01:38.866","Cast","Noxious Ground","Zul'jan → Ewokege",""
"01:38.896","Cast","Noxious Ground","Zul'jan → Horii",""
"01:39.027","Cast","Axegrinder 2.02 sec","Zul'jan",""
"01:39.045","Cast","Axegrinder","Axegrinder 5 → Senfih",""
"01:39.101","Cast","Noxious Ground","Zul'jan → Shroomee",""
"01:39.160","Cast","Noxious Ground","Zul'jan → Neykraufbold",""
"01:39.717","Cast","Axegrinder","Axegrinder 2 → Shirup",""
"01:39.931","Cast","Noxious Ground","Zul'jan → Cringewar",""
"01:39.959","Cast","Axegrinder","Axegrinder 5 → Tizaxyr",""
"01:40.050","Cast","Axegrinder","Axegrinder 6",""
"01:40.074","Cast","Noxious Ground","Zul'jan → Impyr",""
"01:40.089","Cast","Axegrinder","Axegrinder 7",""
"01:40.179","Cast","Axegrinder","Axegrinder 8",""
