"Time","Type","Ability","Source → Target",""
"00:09.905","Cast","Caustic Deluge 0.99 sec","Vexhul → Szappy",""
"00:09.925","Cast","Envenomed","Vexhul → Szappy",""
"00:10.434","Cast","Envenomed","Vexhul → Szappy",""
"00:10.938","Cast","Envenomed","Vexhul → Szappy",""
"00:11.426","Cast","Envenomed","Vexhul → Szappy",""
"00:11.937","Cast","Envenomed","Vexhul → Szappy",""
"00:12.026","Cast","Caustic Deluge","Vexhul",""
"00:12.313","Cast","Caustic Deluge","Vexhul",""
"00:12.425","Cast","Envenomed","Vexhul → Szappy",""
"00:12.691","Cast","Caustic Deluge","Vexhul",""
"00:12.919","Cast","Envenomed","Vexhul → Szappy",""
"00:13.152","Cast","Caustic Deluge","Vexhul",""
"00:13.225","Cast","Caustic Globule","Environment → Hellz",""
"00:13.225","Cast","Eternal Venom","Vexhul → Hellz",""
"00:13.324","Cast","Caustic Globule","Environment → Tafikay",""
"00:13.324","Cast","Eternal Venom","Vexhul → Tafikay",""
"00:13.437","Cast","Envenomed","Vexhul → Szappy",""
"00:13.461","Cast","Caustic Deluge","Vexhul",""
"00:13.856","Cast","Caustic Deluge","Vexhul",""
"00:13.938","Cast","Envenomed","Vexhul → Szappy",""
"00:14.012","Cast","Caustic Globule","Environment → Mythvoker",""
"00:14.012","Cast","Eternal Venom","Vexhul → Mythvoker",""
"00:14.224","Cast","Caustic Deluge","Vexhul",""
"00:14.442","Cast","Envenomed","Vexhul → Szappy",""
"00:14.611","Cast","Caustic Deluge","Vexhul",""
"00:14.848","Cast","Caustic Globule","Environment → Tunim",""
"00:14.848","Cast","Eternal Venom","Vexhul → Tunim",""
"00:14.966","Cast","Envenomed","Vexhul → Szappy",""
"00:15.025","Cast","Caustic Deluge","Vexhul",""
"00:15.135","Cast","Caustic Globule","Environment → Szappy",""
"00:15.135","Cast","Eternal Venom","Vexhul → Szappy",""
"00:15.135","Cast","Caustic Globule","Environment → Urcaguarcy",""
"00:15.135","Cast","Eternal Venom","Vexhul → Urcaguarcy",""
"00:15.225","Cast","Caustic Globule","Environment → Wínky",""
"00:15.225","Cast","Eternal Venom","Vexhul → Wínky",""
"00:15.385","Cast","Caustic Deluge","Vexhul",""
"00:15.779","Cast","Caustic Deluge","Vexhul",""
"00:15.853","Cast","Caustic Globule","Environment → Voldkai",""
"00:15.853","Cast","Eternal Venom","Vexhul → Voldkai",""
"00:16.096","Cast","Caustic Globule","Environment → Aprrog",""
"00:16.097","Cast","Eternal Venom","Vexhul → Aprrog",""
"00:16.167","Cast","Caustic Deluge","Vexhul",""
"00:16.202","Cast","Caustic Globule","Environment → Lunishocks",""
"00:16.202","Cast","Eternal Venom","Vexhul → Lunishocks",""
"00:16.554","Cast","Caustic Deluge","Vexhul",""
"00:17.211","Cast","Caustic Globule","Environment → Cappuchino",""
"00:17.211","Cast","Eternal Venom","Vexhul → Cappuchino",""
"00:17.692","Cast","Caustic Globule","Environment → Voldkai",""
"00:17.692","Cast","Eternal Venom","Vexhul → Voldkai",""
"00:17.973","Cast","Caustic Globule","Environment → Belran",""
