"Time","Type","Ability","Source → Target",""
"00:09.004","Cast","Caustic Deluge 0.99 sec","Vexhul → Haxmatic",""
"00:09.005","Cast","Blood Torrent 1.00 sec","Ithraz → Haxmatic",""
"00:09.022","Cast","Envenomed","Vexhul → Haxmatic",""
"00:09.512","Cast","Envenomed","Vexhul → Haxmatic",""
"00:10.035","Cast","Envenomed","Vexhul → Haxmatic",""
"00:10.529","Cast","Envenomed","Vexhul → Haxmatic",""
"00:11.027","Cast","Caustic Deluge","Vexhul",""
"00:11.027","Cast","Envenomed","Vexhul → Haxmatic",""
"00:11.028","Cast","Barbed Bulwark","Barbed Bulwark 1",""
"00:11.392","Cast","Caustic Deluge","Vexhul",""
"00:11.393","Cast","Barbed Bulwark","Barbed Bulwark 2",""
"00:11.527","Cast","Envenomed","Vexhul → Haxmatic",""
"00:11.695","Cast","Caustic Deluge","Vexhul",""
"00:11.714","Cast","Barbed Bulwark","Barbed Bulwark 3",""
"00:12.034","Cast","Envenomed","Vexhul → Haxmatic",""
"00:12.057","Cast","Caustic Deluge","Vexhul",""
"00:12.083","Cast","Barbed Bulwark","Barbed Bulwark 4",""
"00:12.357","Cast","Caustic Deluge","Vexhul",""
"00:12.375","Cast","Barbed Bulwark","Barbed Bulwark 5",""
"00:12.533","Cast","Envenomed","Vexhul → Haxmatic",""
"00:12.684","Cast","Caustic Deluge","Vexhul",""
"00:12.723","Cast","Barbed Bulwark","Barbed Bulwark 6",""
"00:13.032","Cast","Envenomed","Vexhul → Haxmatic",""
"00:13.034","Cast","Caustic Deluge","Vexhul",""
"00:13.062","Cast","Barbed Bulwark","Barbed Bulwark 7",""
"00:13.366","Cast","Caustic Deluge","Vexhul",""
"00:13.397","Cast","Barbed Bulwark","Barbed Bulwark 8",""
"00:13.532","Cast","Envenomed","Vexhul → Haxmatic",""
"00:13.696","Cast","Caustic Deluge","Vexhul",""
"00:13.697","Cast","Barbed Bulwark","Barbed Bulwark 9",""
"00:14.025","Cast","Envenomed","Vexhul → Haxmatic",""
"00:14.028","Cast","Caustic Deluge","Vexhul",""
"00:14.056","Cast","Barbed Bulwark","Barbed Bulwark 10",""
"00:14.343","Cast","Caustic Deluge","Vexhul",""
"00:14.365","Cast","Barbed Bulwark","Barbed Bulwark 11",""
"00:14.392","Cast","Caustic Globule","Environment →  Sunnyshocks",""
"00:14.392","Cast","Eternal Venom","Vexhul →  Sunnyshocks",""
"00:14.392","Cast","Caustic Globule","Environment → Frostepurple",""
"00:14.392","Cast","Eternal Venom","Vexhul → Frostepurple",""
"00:14.534","Cast","Caustic Globule","Environment → Lulu",""
"00:14.534","Cast","Eternal Venom","Vexhul → Lulu",""
"00:14.689","Cast","Caustic Deluge","Vexhul",""
"00:14.690","Cast","Barbed Bulwark","Barbed Bulwark 12",""
"00:15.021","Cast","Caustic Deluge","Vexhul",""
"00:15.040","Cast","Barbed Bulwark","Barbed Bulwark 13",""
"00:15.354","Cast","Caustic Deluge","Vexhul",""
"00:15.373","Cast","Barbed Bulwark","Barbed Bulwark 14",""
"00:15.690","Cast","Caustic Deluge","Vexhul",""
"00:15.691","Cast","Barbed Bulwark","Barbed Bulwark 15",""
"00:15.742","Cast","Caustic Globule","Environment → Lockserx",""
"00:15.742","Cast","Eternal Venom","Vexhul → Lockserx",""
"00:15.794","Cast","Caustic Globule","Environment → Draguzzy",""
