"Time","Type","Ability","Source → Target",""
"00:15.045","Cast","Mother's Wrath 5.02 sec","Ula'tek →  罐头九四箱",""
"00:19.987","Cast","Spectral Coils","Gore Rattle 1",""
"00:27.567","Cast","Spectral Coils 4.01 sec","Spectral Coil 1",""
"00:30.403","Cast","Spectral Coils 3.99 sec","Spectral Coil 2",""
"00:39.013","Cast","Mephitic Thrash 4.02 sec","Gore Rattle 1",""
"00:48.002","Cast","Caustic Waves 6.00 sec","Gore Rattle 1",""
"00:48.003","Cast","Caustic Waves 6.00 sec","Ula'tek",""
"00:50.714","Cast","Caustic Waves 2.39 sec","Gore Rattle 2",""
"00:50.714","Cast","Caustic Waves 2.39 sec","Gore Rattle 1",""
"01:04.407","Cast","Submerge 2.40 sec","Ula'tek",""
"01:16.011","Cast","Call of the Serpent 4.00 sec","Ula'tek",""
"01:22.007","Cast","Mother's Wrath 5.00 sec","Ula'tek →  骨头嘿",""
"01:31.037","Cast","Mephitic Thrash 4.02 sec","Gore Rattle 2",""
"01:40.004","Cast","Caustic Waves 6.00 sec","Gore Rattle 2",""
"01:40.005","Cast","Caustic Waves 6.00 sec","Ula'tek",""
"01:42.945","Cast","Caustic Waves 2.40 sec","Gore Rattle 4",""
"01:42.945","Cast","Caustic Waves 2.40 sec","Gore Rattle 3",""
"01:55.009","Cast","Spectral Coils","Gore Rattle 2",""
"01:59.017","Cast","Mother's Wrath 5.01 sec","Ula'tek →  罐头九四箱",""
"02:00.126","Cast","Anti-Magic Zone","Environment →  骨头嘿",""
"02:00.146","Cast","Anti-Magic Zone","Environment → 武僧嗄",""
"02:00.146","Cast","Anti-Magic Zone","Environment → Convictions",""
"02:00.146","Cast","Anti-Magic Zone","Environment → 曾恋水茉青花",""
"02:00.146","Cast","Anti-Magic Zone","Environment → Ayazz",""
"02:00.146","Cast","Anti-Magic Zone","Environment → 慌啦",""
"02:00.146","Cast","Anti-Magic Zone","Environment → 黄色噬极兽",""
"02:00.170","Cast","Anti-Magic Zone","Environment → 寒泷月",""
"02:00.213","Cast","Anti-Magic Zone","Environment → 残楼",""
"02:00.365","Cast","Anti-Magic Zone","Environment → 青山青山",""
"02:01.010","Cast","Anti-Magic Zone","Environment → 饭团丶",""
"02:01.242","Cast","Anti-Magic Zone","Environment → 巴顿三号",""
"02:01.436","Cast","Anti-Magic Zone","Environment → 丶小希",""
"02:02.375","Cast","Spectral Coils 4.01 sec","Spectral Coil 3",""
"02:02.987","Cast","Anti-Magic Zone","Environment → 小黒黒丶",""
"02:02.987","Cast","Anti-Magic Zone","Environment → 猛踹晚安瘸腿",""
"02:05.605","Cast","Spectral Coils 3.98 sec","Spectral Coil 4",""
"02:08.140","Cast","Anti-Magic Zone","Environment →  骨头嘿",""
"02:08.179","Cast","Anti-Magic Zone","Environment → 黄色噬极兽",""
"02:08.179","Cast","Anti-Magic Zone","Environment → 慌啦",""
"02:08.179","Cast","Anti-Magic Zone","Environment → Convictions",""
"02:15.506","Cast","Rage of the Shackled 6.51 sec","Ula'tek",""
